Location,Latitude,Longitude
Emsworth,40.4419,-80.01802
Dashields,40.5028,-80.09301
Montgomery,40.5528,-80.21233
New Cumberland,40.6236,-80.45741
Pike Island,40.3953,-80.63226
Hannibal,40.0614,-80.7264
Willow Island,39.652,-80.86367
Belleville,39.3531,-81.32917
Racine,39.0874,-81.75503
RC Byrd,39.0146,-82.04272
Greenup,38.5808,-82.83908
Meldahl,38.7291,-82.97076
Markland,39.1349,-84.7655
McAlpine,38.6392,-85.43917
Cannelton,38.2298,-85.84005
Newburgh,37.8544,-87.04955
JT Myers,37.9132,-87.49655
Smithland,37.5368,-88.09028
Olmsted,37.0582,-88.48572
Open Water,37.0272,-89.18139
